campaing,id,entries,externalUrl,domains
GermanFundraising,385879,16605,10488,2618
GermanPetitioning,385878,8479,7272,228
FrenchFundraising,385881,111706,46991,6338
FrenchPetitioning,385880,67649,60224,660
DutchFundraising,385883,8269,5556,1545
DutchPetitioning,385882,5509,4235,284
PolishFundraising,385885,45912,34700,1975
PolishPetitioning,385884,285,191,35
RomanianFundraising,385887,1709,1525,303
RomanianPetitioning,385886,69,57,21
ItalianFundraising,385889,42641,32333,4212
ItalianPetitioning,385888,25758,24553,178
SpanishFundraising,385891,104615,35739,6096
SpanishPetitioning,385890,1611525,580782,36744
